Ano,Cor,Nº Questão,Gabarito,Sigla da Área,Área,Língua,Habilidade,Item Abandonado,Motivo Abandono,Item Adaptado,Parâmetro A,Parâmetro B,Parâmetro C,Itens,Provas,Versão Digital
2014,Amarelo,115,B,LC,Linguagens e Códigos,,13,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,39467,203,
2014,Amarelo,116,D,LC,Linguagens e Códigos,,15,0,,,2.20141,2.37224,0.1478,17316,203,
2014,Amarelo,117,C,LC,Linguagens e Códigos,,1,0,,,1.49078,0.07416,0.08396,62129,203,
2014,Amarelo,118,D,LC,Linguagens e Códigos,,3,0,,,1.93365,1.44407,0.18091,54901,203,
2014,Amarelo,119,E,LC,Linguagens e Códigos,,19,0,,,3.27531,1.76311,0.15025,61634,203,
2014,Amarelo,120,D,LC,Linguagens e Códigos,,27,0,,,1.33878,-0.30209,0.18685,23970,203,
2014,Amarelo,121,B,LC,Linguagens e Códigos,,28,0,,,0.6499,2.63502,0.0311,60030,203,
2014,Amarelo,122,C,LC,Linguagens e Códigos,,17,0,,,2.78271,0.91699,0.11184,25160,203,
2014,Amarelo,123,A,LC,Linguagens e Códigos,,24,0,,,2.17872,-0.0611,0.07526,59834,203,
2014,Amarelo,124,B,LC,Linguagens e Códigos,,21,0,,,2.88632,0.33577,0.14663,60908,203,
2014,Amarelo,125,B,LC,Linguagens e Códigos,,29,0,,,2.72071,-0.25522,0.16077,39161,203,
2014,Amarelo,126,C,LC,Linguagens e Códigos,,16,0,,,3.12727,1.37122,0.10684,40198,203,
2014,Amarelo,127,B,LC,Linguagens e Códigos,,16,0,,,1.76294,0.93064,0.20396,17221,203,
2014,Amarelo,128,C,LC,Linguagens e Códigos,,22,0,,,1.04729,4.01866,0.17462,67292,203,
2014,Amarelo,129,D,LC,Linguagens e Códigos,,9,0,,,2.77516,1.3356,0.1154,38314,203,
2014,Amarelo,130,A,LC,Linguagens e Códigos,,20,0,,,2.70304,1.12922,0.1968,59566,203,
2014,Amarelo,131,B,LC,Linguagens e Códigos,,21,0,,,1.86592,-0.2908,0.06189,55917,203,
2014,Amarelo,132,D,LC,Linguagens e Códigos,,1,0,,,2.08904,1.4535,0.15613,17417,203,
2014,Amarelo,133,A,LC,Linguagens e Códigos,,18,0,,,2.66276,0.44317,0.19913,16803,203,
2014,Amarelo,134,D,LC,Linguagens e Códigos,,13,0,,,1.74545,0.73092,0.09495,61293,203,
2014,Amarelo,135,D,LC,Linguagens e Códigos,,4,0,,,3.47426,0.75167,0.15511,62384,203,
2014,Amarelo,136,D,MT,Linguagens e Códigos,,11,0,,,1393.0,2527.0,159.0,9475,207,
2014,Amarelo,137,D,MT,Linguagens e Códigos,,19,0,,,1.59248,2.00335,0.27155,17740,207,
2014,Amarelo,138,C,MT,Linguagens e Códigos,,3,0,,,3.22711,0.34727,0.17002,30455,207,
2014,Amarelo,139,D,MT,Linguagens e Códigos,,20,0,,,1.98404,2.2941,0.12322,17535,207,
2014,Amarelo,140,E,MT,Linguagens e Códigos,,7,0,,,0.78827,0.57549,0.02944,42818,207,
2014,Amarelo,141,E,MT,Linguagens e Códigos,,25,0,,,1.50301,1.15845,0.0992,33182,207,
2014,Amarelo,142,C,MT,Linguagens e Códigos,,24,0,,,1.87001,2.45188,0.18403,54440,207,
2014,Amarelo,143,B,MT,Linguagens e Códigos,,26,0,,,1.96518,0.66623,0.20892,63435,207,
2014,Amarelo,144,B,MT,Linguagens e Códigos,,4,0,,,1.78611,1.16553,0.41758,40131,207,
2014,Amarelo,145,E,MT,Linguagens e Códigos,,9,0,,,2.12088,1.70598,0.13132,14187,207,
2014,Amarelo,146,D,MT,Linguagens e Códigos,,18,0,,,1.61207,2.24783,0.13861,48681,207,
2014,Amarelo,147,B,MT,Linguagens e Códigos,,18,0,,,1.97988,1.52355,0.15177,46713,207,
2014,Amarelo,148,B,MT,Linguagens e Códigos,,25,0,,,1.83986,2.34426,0.21054,49989,207,
2014,Amarelo,149,D,MT,Linguagens e Códigos,,17,0,,,1.05986,-0.36006,0.09786,63438,207,
2014,Amarelo,150,A,MT,Linguagens e Códigos,,30,0,,,2.16526,1.53309,0.1566,61793,207,
2014,Amarelo,151,B,MT,Linguagens e Códigos,,2,0,,,0.31966,5.61338,0.08125,59581,207,
2014,Amarelo,152,B,MT,Linguagens e Códigos,,28,0,,,1.33909,3.71347,0.16889,30529,207,
2014,Amarelo,153,C,MT,Linguagens e Códigos,,13,0,,,1.98973,1.94698,0.25513,63440,207,
2014,Amarelo,154,C,MT,Linguagens e Códigos,,6,0,,,1.37431,1.9954,0.09041,44241,207,
2014,Amarelo,155,B,MT,Linguagens e Códigos,,27,0,,,1319.0,2237.0,43.0,11812,207,
2014,Amarelo,156,C,MT,Linguagens e Códigos,,5,0,,,1.92266,2.32163,0.16323,63674,207,
2014,Amarelo,157,C,MT,Linguagens e Códigos,,20,0,,,2.23693,1.47277,0.1419,33035,207,
2014,Amarelo,158,E,MT,Linguagens e Códigos,,14,0,,,2.52961,2.78945,0.05833,30877,207,
2014,Amarelo,159,D,MT,Linguagens e Códigos,,3,0,,,1953.0,1224.0,155.0,7389,207,
2014,Amarelo,160,E,MT,Linguagens e Códigos,,11,0,,,3.07069,1.76537,0.05082,33369,207,
2014,Amarelo,161,A,MT,Linguagens e Códigos,,29,0,,,2.19845,2.03551,0.22723,25246,207,
2014,Amarelo,162,E,MT,Linguagens e Códigos,,28,0,,,1.61297,2.98793,0.21584,12340,207,
2014,Amarelo,163,C,MT,Linguagens e Códigos,,13,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,29767,207,
2014,Amarelo,164,A,MT,Linguagens e Códigos,,23,0,,,2.13099,1.96098,0.11968,59806,207,
2014,Amarelo,165,E,MT,Linguagens e Códigos,,2,0,,,0.91539,3.76906,0.14461,49822,207,
2014,Amarelo,166,A,MT,Linguagens e Códigos,,8,0,,,0.15248,11.43966,0.21171,15302,207,
2014,Amarelo,167,D,MT,Linguagens e Códigos,,19,0,,,1.69037,3.30438,0.12863,39758,207,
2014,Amarelo,168,D,MT,Linguagens e Códigos,,16,0,,,2.36469,2376.0,0.0966,61364,207,
2014,Amarelo,169,C,MT,Linguagens e Códigos,,18,0,,,1.58133,2.1276,0.12547,49881,207,
2014,Amarelo,170,D,MT,Linguagens e Códigos,,29,0,,,1.6867,1.70676,0.16663,50141,207,
2014,Amarelo,171,A,MT,Linguagens e Códigos,,8,0,,,2.15467,2.05479,0.15025,23880,207,
2014,Amarelo,172,A,MT,Linguagens e Códigos,,20,0,,,1.54729,0.48664,0.03026,60671,207,
2014,Amarelo,173,B,MT,Linguagens e Códigos,,16,0,,,1.44554,2.04929,0.1339,26988,207,
2014,Amarelo,174,A,MT,Linguagens e Códigos,,14,0,,,3.2818,1.51223,0.15055,28340,207,
2014,Amarelo,175,B,MT,Linguagens e Códigos,,21,0,,,1.55715,1.8146,0.15858,14048,207,
2014,Amarelo,176,D,MT,Linguagens e Códigos,,23,0,,,1.79888,1.88929,0.15126,64117,207,
2014,Amarelo,177,C,MT,Linguagens e Códigos,,1,0,,,1.72864,-0.40621,0.19395,40768,207,
2014,Amarelo,178,E,MT,Linguagens e Códigos,,10,0,,,1.28222,1.73128,0.1263,41058,207,
2014,Amarelo,179,C,MT,Linguagens e Códigos,,18,0,,,2528.0,0.77827,0.17369,41283,207,
2014,Amarelo,180,A,MT,Linguagens e Códigos,,4,0,,,3.21361,2.43555,0.11686,22760,207,
2014,Azul,1,E,CH,Linguagens e Códigos,,16,0,,,2.55238,0.46672,0.26522,67718,195,
2014,Azul,2,C,CH,Linguagens e Códigos,,5,0,,,1.78029,0.86701,0.2147,24323,195,
2014,Azul,3,B,CH,Linguagens e Códigos,,29,0,,,1.17717,3.04416,0.10704,59956,195,
2014,Azul,4,D,CH,Linguagens e Códigos,,4,0,,,0.92824,1.73009,0.1265,49310,195,
2014,Azul,5,A,CH,Linguagens e Códigos,,20,0,,,2.2357,0.85492,0.15776,46855,195,
2014,Azul,6,D,CH,Linguagens e Códigos,,8,0,,,3.08701,1.4265,0.14773,67994,195,
2014,Azul,7,A,CH,Linguagens e Códigos,,18,0,,,1.18532,0.01861,0.2096,25276,195,
2014,Azul,8,D,CH,Linguagens e Códigos,,3,0,,,3.59227,0.50242,0.26104,59833,195,
2014,Azul,9,E,CH,Linguagens e Códigos,,17,0,,,2.73114,1.10084,0.1605,63625,195,
2014,Azul,10,C,CH,Linguagens e Códigos,,18,0,,,3.15175,0.77756,0.32448,54201,195,
