NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
170001677408;2017;5;F;1;1;1;1;3;1;;0;;;;;;;;3300100;Angra dos Reis;33;RJ;1;1;1;1;392;398;401;404;602.2;598.6;557.9;447.6;BABBCAAAEBABBCBBEEBECCADCBCDDCBABADEEDABACBBB;DBCBEABEBCDACDDCAADEDCCAEECCDEDEBBBDEDBBCABDE;DAEED99999EBEBDEEDDCBEEDBDEADADDCDBBDCEBEECADBBDEB;AAACCAAAEDDEDCBCBBBCDEACECABBCADEACBBCBABEADA;0;BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC;1;140;120;140;160;100;660;C;D;C;C;5;E;A;C;C;A;A;B;B;B;A;A;A;A;C;B;B;D;A;B;B;A;A
170001677409;2017;15;F;1;1;1;1;11;1;;0;;;;;;;;2408102;Natal;24;RN;1;1;1;1;391;395;399;403;611.1;607.7;565.8;553.8;AEEBDDBCDBDCDDDBBDADBBEBAAAEDBCDDABDDCEDCEEEE;EDAECADEECACBCDDECDEBDDCDCEABEEEDECCCEADEECEE;DDAEC99999DEAEDCABCADDEEBADEDCABBCBECBBBDABEEEDDCE;EECCEECCDDDACEBCEBABDCEDDACDEDEDEBBADAAAAAAAA;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;160;120;140;120;80;620;G;E;E;F;3;Q;D;E;D;C;A;B;B;B;A;A;A;B;B;B;B;D;B;B;B;A;D
170003333564;2017;9;F;1;1;1;1;6;1;;0;;;;;;;;3530300;Mirassol;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;D;F;5;E;A;C;D;D;A;C;B;B;A;B;A;B;C;B;A;E;B;C;B;A;A
170001672029;2017;7;M;1;1;1;1;4;1;;0;;;;;;;;3503208;Araraquara;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;B;B;2;B;A;B;C;B;B;B;A;B;A;B;A;B;C;B;A;C;A;A;A;A;A
170001672028;2017;8;F;1;3;1;1;5;1;;0;;;;;;;;2928000;Santaluz;29;BA;1;1;1;1;391;396;400;403;533.4;412.4;542.5;501.5;DEAECEBBABECECBABCEEACCACDBAECCDABCBECDCDACAD;ECDEEACDACABEAEADACABAEADBEECACABBCBEAABBEBCC;AEDBE99999CCEBBBECAEDABBEABBADEDCDDAAECAECADDEBBCE;EBACDCACEDBAEEECCABAECEDAEBBDDBEADEDBBCACEEBE;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;120;120;160;160;160;720;B;E;A;A;2;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B;A;A
170001672030;2017;14;F;1;1;1;1;11;1;;0;;;;;;;;4124103;Santo Antônio da Platina;41;PR;1;1;1;1;394;395;399;405;479.1;545.3;482.1;544;DECADEBAECEDADDBDBCAEAAECDDEDBDCDEDAEBBDCADBB;DEDECACEECAEBEDADBACBADAECEAADEBCCABDBBDCEEBA;99999ECBDBEEDDACEEEBCDADEABEBCDCBADEAEBDECBDBDEDEC;ADBDDBCCEACBDCDBDBBDABDCADBEEBCDEAADCBDAEEDCA;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;120;40;40;100;40;340;A;A;A;B;4;D;A;C;D;A;C;B;A;B;A;B;A;A;D;B;A;D;A;C;B;A;A
170001672033;2017;11;F;1;1;1;1;7;1;;0;;;;;;;;2304400;Fortaleza;23;CE;1;1;1;1;391;397;402;403;542.1;616.9;595.1;432.2;CACBDAECDBACDCDEBEADDBECBCAEEDABDAEDADEDDEDDC;ECACDEDAECABEEBBEDBEBEDCBACDCEEBEDBEDBEBABACA;CDCDC99999CDBAEEDEADEBBBCDBCEACDAABEBBABEDADDBCEAE;EBACACDCDDCEDCBCDABCECEDBACDDCAADBDBEDEABCDBD;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;180;140;180;140;120;760;A;A;A;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;A;A
170001672032;2017;13;F;1;1;1;1;11;1;;0;;;;;;;;3141108;Matozinhos;31;MG;1;1;1;1;394;397;402;405;624.3;648.2;585.7;442.1;DECCEEAACCDDAADACBCAEEABCAEEBABDECDDEEEECBCBB;ECBEDBDAEAADEEABEDBEBBDCBCCCCDEBECADDBEDDAABC;EBCEC99999CDBADACEAEEDBBCABAEEBCAABECBDBEDDDDBCDAE;CAEDECBEEDAAEDBCDCDEDCDEADAABABDADABDEBDBCEEE;0;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;160;180;160;140;160;800;E;B;F;F;10;F;A;C;E;B;A;B;B;B;A;B;A;A;B;B;B;E;B;B;B;A;A
170001672031;2017;11;F;1;1;1;1;9;1;;0;;;;;;;;3547809;Santo André;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;C;C;3;G;A;B;B;A;A;B;B;B;A;B;A;B;B;B;B;C;B;B;B;A;A
170001663763;2017;11;M;1;3;1;1;11;1;;0;;;;;;;;5208707;Goiânia;52;GO;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;D;B;B;5;F;A;C;D;A;A;B;A;A;A;A;A;A;C;B;B;E;A;B;B;A;A
