NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001215222;2019;2;M;1;3;1;2;0;2;1;0;;;;;;;;2111300;São Luís;21;MA;1;1;1;1;505;508;512;518;428.2;388.8;486.1;399.7;DABADCCCBEACAECDABCDDEEBCCCCBDCCDCECBADDDACAB;ABCCCCAACCEBADBBACECCBECDAABAAEABEEEABDDCEDBA;BBABA99999CBBECEAECABCCEDEDDECEADDBCBCBBECAEEADEAA;ACDCABCCAAECACECBBAAEBBAEAEEBDCDCBECCBBCDECEB;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;80;80;0;400;D;D;A;A;4;A;A;A;C;A;A;A;A;A;A;A;A;A;B;A;A;B;A;A;A
190001500528;2019;12;F;0;3;1;1;13;1;1;0;;;;;;;;2605103;Custódia;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;B;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001215223;2019;11;F;2;3;1;1;10;1;1;0;;;;;;;;2111300;São Luís;21;MA;1;1;1;1;506;508;512;517;454.6;407.6;369.1;613.2;CEECADCCDDDCBDDAECBDABBEDDABDEDBDBAADDCBDDDAE;DEDDCAEADADDADEDDDEEDDECDEEDBAB.CBEBCECACDDDE;99999BCCDEBDBEECBCAEEEBABDAAACBEADBCCCDAAAABCADEAB;DEBAADEEADEADDDCABDBDBEADCCEDCCABCACDADCDADDA;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;100;80;100;80;480;A;E;A;A;7;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001478875;2019;16;M;1;2;1;1;13;1;1;0;;;;;;;;2408102;Natal;24;RN;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;D;B;B;3;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;B;A
190001130921;2019;3;M;1;3;1;2;0;2;1;0;2304400;Fortaleza;23;CE;2;1;1;2304400;Fortaleza;23;CE;1;1;1;1;505;507;511;518;372.5;407.9;435.6;426.2;BDCBBCDBBDEEDDCBBACCEACDECECAAADDDBBDECDEEBED;CCACAACEBEAEECCCADDEDABABDABEEDCDACEBBBEBBCBD;99999CBABADAACCEACEDACACBBCEEDECECBDCCAAAADDAEEACC;BABBBDCBBDECEDCACBCADBDBBEBBCCDEDCCBCDCECDAEB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;80;60;100;40;400;D;D;C;C;6;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;B;A
190001613127;2019;10;M;0;1;1;1;8;1;1;0;;;;;;;;3534401;Osasco;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;F;B;2;D;A;B;B;A;A;B;A;A;A;B;A;A;B;B;B;C;A;B;B
190002040908;2019;12;F;2;2;1;1;9;1;1;0;;;;;;;;5300108;Brasília;53;DF;1;1;1;1;505;508;512;518;436.6;444.1;449.2;455.6;BECDBDADCDEBCCECD*BABCADAAECCBCEDDACEBBCAADAC;ABACEABCCEDBAEBDCBEACAEBCCDABBDADEBACDBDACDBC;99999BBEDCCDAEAABADEDCEECBDCBEDBCCCABDEADDAEACDCEB;BACCAAECBACECCDBEBDAABECADBEADADDAEBCDCACBAEB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;100;120;120;120;0;460;C;B;B;B;4;E;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
190001484109;2019;1;F;1;1;1;3;0;1;;1;;;;;;;;2504009;Campina Grande;25;PB;1;1;1;1;504;507;511;516;412.3;423;433.8;361;DACDECABDDACAEADBCDCCDAADBDCEDAEBDACBAAAAECCA;DCCAEBACEADCDABBDABADBECAEADBBADACBABAAABAEDA;99999DDACBEBACBDACDDBCEECBECABECDDEACAEABBDAEAAABD;AAEAABCBBBBCCDCBBBACACAABBADEACADCAACBCCAACBB;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;100;100;100;120;80;500;C;C;B;B;3;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;B;B;B
190001500529;2019;5;M;1;2;1;1;1;1;;0;;;;;;;;2611606;Recife;26;PE;1;1;1;1;504;509;514;516;464;440.7;495.4;410.9;EACBAECAEDBBECDBACDBEDCECDBACEDACDECDEBBCCBCD;CCABDBBEDBAAABDEAAECDCCBABADBBADBDCACBBDBAECB;ACBDB99999BDCDECCACBAABDBECEDEDBAABBCDEACDCBACCCBC;CADBADABACBCBDBDBCEEDDBECBAAACCDACADDBBADECBC;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;100;120;100;560;D;E;B;B;2;B;A;B;C;A;A;B;A;B;B;A;A;A;B;A;A;B;A;B;B
190001215224;2019;3;F;1;3;1;1;2;1;;0;;;;;;;;2101202;Bacabal;21;MA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;F;A;A;5;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;B;B;A;A
